home_pos,home_value,home_score_form,home_concede_form,away_pos,away_value,away_score_form,away_concede_form,home_result_score,away_result_score
12,1335,0.6666666666666666,3,7,1438,6,4,0,0
5,1419,2.3333333333333335,3,15,1269,7,6,3,0
3,1431,1.3333333333333333,5,9,1302,2,2,2,0
5,1474,2.0,6,1,1493,8,0,2,1
19,1293,0.6666666666666666,8,13,1260,7,9,2,0
19,1280,1.0,10,11,1260,3,2,0,1
16,1372,1.3333333333333333,7,5,1438,5,7,0,2
4,1446,2.3333333333333335,2,1,1494,9,0,0,3
13,1281,0.6666666666666666,14,8,1265,3,4,1,0
16,1253,2.0,6,11,1277,6,4,5,3
20,1301,1.6666666666666667,4,2,1381,5,1,1,4
6,1465,1.6666666666666667,5,13,1268,8,6,1,1
10,1299,1.3333333333333333,2,17,1230,1,11,1,1
12,1336,1.6666666666666667,4,9,1311,4,4,0,0
5,1415,2.3333333333333335,4,3,1406,11,4,1,1
15,1240,1.6666666666666667,6,14,1348,3,5,3,2
10,1297,1.3333333333333333,3,12,1339,5,3,3,0
18,1225,1.3333333333333333,11,11,1333,3,8,0,2
4,1404,0.6666666666666666,4,14,1316,4,6,9,1
9,1305,1.3333333333333333,4,20,1272,5,3,1,0
7,1436,1.6666666666666667,5,6,1463,5,5,2,2
7,1262,1.0,6,3,1433,9,3,1,0
16,1295,0.6666666666666666,3,17,1265,5,5,3,3
1,1453,3.3333333333333335,0,19,1274,4,7,4,0
9,1271,2.0,6,4,1425,7,4,1,1
12,1318,1.3333333333333333,3,11,1294,6,4,1,0
2,1361,0.6666666666666666,3,12,1356,5,5,3,0
7,1421,1.0,4,15,1329,3,4,2,2
17,1268,0.0,4,9,1320,5,3,2,1
13,1283,1.3333333333333333,6,11,1295,7,3,1,1
17,1253,2.0,5,11,1365,4,5,1,2
1,1491,3.3333333333333335,2,3,1427,4,3,1,0
4,1416,0.6666666666666666,5,8,1241,4,4,2,0
5,1453,1.0,3,10,1271,5,6,3,3
13,1336,1.0,9,20,1279,5,2,3,1
4,1388,1.0,4,15,1228,4,8,5,1
17,1286,1.3333333333333333,4,2,1444,8,3,1,4
16,1270,1.6666666666666667,6,7,1396,4,3,2,1
14,1321,1.3333333333333333,6,4,1441,4,4,0,0
11,1298,2.0,4,5,1310,2,3,3,1
